opportunity_id,physical_page,page_code,page_title,frame_type,content_need,label,claimable_by,required_tags,target_words,status,match_mode,payment_eligible,analytics_id
ISSUE-TEMPLATE-P03-FRONT-IMAGE-01,5,P03,Contents II,IMAGE,PHOTO_OR_ARTWORK,Contents II / FEATURE PREVIEW IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, contents ii, image, contents, front, matter, feature, preview, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P03-FRONT-IMAGE-01
ISSUE-TEMPLATE-P03-FRONT-IMAGE-02,5,P03,Contents II,IMAGE,PHOTO_OR_ARTWORK,Contents II / SECONDARY PREVIEW IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, contents ii, image, contents, front, matter, secondary, preview, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P03-FRONT-IMAGE-02
ISSUE-TEMPLATE-P03-FRONT-TEXT-01,5,P03,Contents II,TEXT,ARTICLE_OR_COPY,Contents II / RECURRING CONTENT LIST,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, contents ii, text, contents, front, matter, recurring, content, local voices",400-800,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P03-FRONT-TEXT-01
ISSUE-TEMPLATE-P03-FRONT-TEXT-02,5,P03,Contents II,TEXT,ARTICLE_OR_COPY,CONTRIBUTOR + ADVERTISER NAVIGATION,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, contents ii, text, contents, front, matter, contributor, advertiser, navigation",400-800,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P03-FRONT-TEXT-02
ISSUE-TEMPLATE-P04-ANNA_NOW-IMAGE-01,6,P04,Anna Now: Opening Pulse,IMAGE,PHOTO_OR_ARTWORK,Anna Now: Opening Pulse / HERO IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, anna now, anna now: opening pulse, image, now, pulse, hero, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P04-ANNA_NOW-IMAGE-01
ISSUE-TEMPLATE-P04-ANNA_NOW-TEXT-01,6,P04,Anna Now: Opening Pulse,TEXT,ARTICLE_OR_COPY,Anna Now: Opening Pulse / KICKER + HEADLINE + DECK,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, anna now, anna now: opening pulse, text, now, pulse, kicker, headline, deck, local voices",15-75,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P04-ANNA_NOW-TEXT-01
ISSUE-TEMPLATE-P04-ANNA_NOW-TEXT-02,6,P04,Anna Now: Opening Pulse,TEXT,ARTICLE_OR_COPY,Anna Now: Opening Pulse / OPENING COPY + BYLINE,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, anna now, anna now: opening pulse, text, now, pulse, byline, local voices, reported story",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P04-ANNA_NOW-TEXT-02
ISSUE-TEMPLATE-P05-ANNA_NOW-IMAGE-01,7,P05,"Anna Now: Briefs, Numbers & Welcome",IMAGE,PHOTO_OR_ARTWORK,"Anna Now: Briefs, Numbers & Welcome / EDITORIAL IMAGE",PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, anna now, anna now: briefs, numbers & welcome, image, now, briefs, numbers, welcome, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P05-ANNA_NOW-IMAGE-01
ISSUE-TEMPLATE-P05-ANNA_NOW-TEXT-01,7,P05,"Anna Now: Briefs, Numbers & Welcome",TEXT,ARTICLE_OR_COPY,"Anna Now: Briefs, Numbers & Welcome / EDITORIAL TEXT",PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, anna now, anna now: briefs, numbers & welcome, text, now, briefs, numbers, welcome, local voices, reported story",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P05-ANNA_NOW-TEXT-01
ISSUE-TEMPLATE-P05-ANNA_NOW-TEXT-02,7,P05,"Anna Now: Briefs, Numbers & Welcome",TEXT,ARTICLE_OR_COPY,"Anna Now: Briefs, Numbers & Welcome / CAPTION + SERVICE INFO",PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, anna now, anna now: briefs, numbers & welcome, text, now, briefs, numbers, welcome, caption, service",100-350,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P05-ANNA_NOW-TEXT-02
ISSUE-TEMPLATE-P05-HALF-01,7,P05,"Anna Now: Briefs, Numbers & Welcome",AD,AD,HALF / AD_HALF,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, anna now, anna now: briefs, numbers & welcome, ad, now, briefs, numbers, welcome, half, local business",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-P05-HALF-01
ISSUE-TEMPLATE-P06-ASK_SIERRA-DATA-01,8,P06,Ask Sierra: Most-Asked Questions,DATA,VERIFIED_DATA_OR_GRAPHIC,"Ask Sierra: Most-Asked Questions / MAP, CHART OR CHECKLIST",PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: most-asked questions, data, ask, sierra, most-asked, questions, map, chart",,OPEN,MOST_ASKED_FREQUENCY,false,ANALYTICS-ISSUE-TEMPLATE-P06-ASK_SIERRA-DATA-01
ISSUE-TEMPLATE-P06-ASK_SIERRA-TEXT-01,8,P06,Ask Sierra: Most-Asked Questions,TEXT,ARTICLE_OR_COPY,Ask Sierra: Most-Asked Questions / EXPLAINER,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: most-asked questions, text, ask, sierra, most-asked, questions, explainer, local voices",150-450,OPEN,MOST_ASKED_FREQUENCY,false,ANALYTICS-ISSUE-TEMPLATE-P06-ASK_SIERRA-TEXT-01
ISSUE-TEMPLATE-P06-ASK_SIERRA-TEXT-02,8,P06,Ask Sierra: Most-Asked Questions,TEXT,ARTICLE_OR_COPY,Ask Sierra: Most-Asked Questions / RESOURCE LIST,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: most-asked questions, text, ask, sierra, most-asked, questions, resource, local voices",100-350,OPEN,MOST_ASKED_FREQUENCY,false,ANALYTICS-ISSUE-TEMPLATE-P06-ASK_SIERRA-TEXT-02
ISSUE-TEMPLATE-P07-ASK_SIERRA-IMAGE-01,9,P07,Ask Sierra: Letters to the Editor,IMAGE,PHOTO_OR_ARTWORK,Ask Sierra: Letters to the Editor / EDITORIAL IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, ask sierra, ask sierra: letters to the editor, image, ask, sierra, letters, editor, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P07-ASK_SIERRA-IMAGE-01
ISSUE-TEMPLATE-P07-ASK_SIERRA-TEXT-01,9,P07,Ask Sierra: Letters to the Editor,TEXT,ARTICLE_OR_COPY,Ask Sierra: Letters to the Editor / EDITORIAL TEXT,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: letters to the editor, text, ask, sierra, letters, editor, local voices, reported story",150-450,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P07-ASK_SIERRA-TEXT-01
ISSUE-TEMPLATE-P07-ASK_SIERRA-TEXT-02,9,P07,Ask Sierra: Letters to the Editor,TEXT,ARTICLE_OR_COPY,Ask Sierra: Letters to the Editor / CAPTION + SERVICE INFO,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: letters to the editor, text, ask, sierra, letters, editor, caption, service",100-350,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P07-ASK_SIERRA-TEXT-02
ISSUE-TEMPLATE-P07-THIRD_VERTICAL-01,9,P07,Ask Sierra: Letters to the Editor,AD,AD,THIRD_VERTICAL / AD_THIRD_VERTICAL,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, ask sierra, ask sierra: letters to the editor, ad, ask, sierra, letters, editor, third, vertical",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-P07-THIRD_VERTICAL-01
ISSUE-TEMPLATE-P08-SURVEY-DATA-01,10,P08,Survey Says: This Month's #1 Rankings,DATA,VERIFIED_DATA_OR_GRAPHIC,"Survey Says: This Month's #1 Rankings / MAP, CHART OR CHECKLIST",PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: this month's #1 rankings, data, survey, says, month, rankings, map, chart",,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P08-SURVEY-DATA-01
ISSUE-TEMPLATE-P08-SURVEY-TEXT-01,10,P08,Survey Says: This Month's #1 Rankings,TEXT,ARTICLE_OR_COPY,Survey Says: This Month's #1 Rankings / EXPLAINER,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: this month's #1 rankings, text, survey, says, month, rankings, explainer, local voices",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P08-SURVEY-TEXT-01
ISSUE-TEMPLATE-P08-SURVEY-TEXT-02,10,P08,Survey Says: This Month's #1 Rankings,TEXT,ARTICLE_OR_COPY,Survey Says: This Month's #1 Rankings / RESOURCE LIST,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: this month's #1 rankings, text, survey, says, month, rankings, resource, local voices",100-350,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P08-SURVEY-TEXT-02
ISSUE-TEMPLATE-P09-QUARTER-01,11,P09,Survey Says: Results & Reader Offers,AD,AD,QUARTER / AD_QUARTER,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: results & reader offers, ad, survey, says, results, reader, offers, quarter",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-P09-QUARTER-01
ISSUE-TEMPLATE-P09-QUARTER-02,11,P09,Survey Says: Results & Reader Offers,AD,AD,QUARTER / AD_QUARTER,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: results & reader offers, ad, survey, says, results, reader, offers, quarter",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-P09-QUARTER-02
ISSUE-TEMPLATE-P09-SURVEY-IMAGE-01,11,P09,Survey Says: Results & Reader Offers,IMAGE,PHOTO_OR_ARTWORK,Survey Says: Results & Reader Offers / EDITORIAL IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, survey says, survey says: results & reader offers, image, survey, says, results, reader, offers, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P09-SURVEY-IMAGE-01
ISSUE-TEMPLATE-P09-SURVEY-TEXT-01,11,P09,Survey Says: Results & Reader Offers,TEXT,ARTICLE_OR_COPY,Survey Says: Results & Reader Offers / EDITORIAL TEXT,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: results & reader offers, text, survey, says, results, reader, offers, local voices",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P09-SURVEY-TEXT-01
ISSUE-TEMPLATE-P09-SURVEY-TEXT-02,11,P09,Survey Says: Results & Reader Offers,TEXT,ARTICLE_OR_COPY,Survey Says: Results & Reader Offers / LISTINGS OR CAPTIONS,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, survey says, survey says: results & reader offers, text, survey, says, results, reader, offers, listings",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P09-SURVEY-TEXT-02
ISSUE-TEMPLATE-P10-COVER_STORY-IMAGE-01,12,P10,Cover Story: Opening,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Opening / HERO IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: opening, image, cover, hero, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P10-COVER_STORY-IMAGE-01
ISSUE-TEMPLATE-P10-COVER_STORY-TEXT-01,12,P10,Cover Story: Opening,TEXT,ARTICLE_OR_COPY,Cover Story: Opening / KICKER + HEADLINE + DECK,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: opening, text, cover, kicker, headline, deck, local voices, reported story",15-75,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P10-COVER_STORY-TEXT-01
ISSUE-TEMPLATE-P10-COVER_STORY-TEXT-02,12,P10,Cover Story: Opening,TEXT,ARTICLE_OR_COPY,Cover Story: Opening / OPENING COPY + BYLINE,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: opening, text, cover, byline, local voices, reported story",150-450,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P10-COVER_STORY-TEXT-02
ISSUE-TEMPLATE-P11-COVER_STORY-CAPTION-01,13,P11,Cover Story: Photo Essay,CAPTION,CAPTION_AND_CREDIT,Cover Story: Photo Essay / CAPTION BLOCK,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: photo essay, caption, cover, essay, block, attribution",20-80,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P11-COVER_STORY-CAPTION-01
ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-01,13,P11,Cover Story: Photo Essay,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Photo Essay / PRIMARY PHOTO,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: photo essay, image, cover, essay, primary, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-01
ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-02,13,P11,Cover Story: Photo Essay,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Photo Essay / DETAIL PHOTO,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: photo essay, image, cover, essay, detail, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-02
ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-03,13,P11,Cover Story: Photo Essay,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Photo Essay / CONTEXT PHOTO,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: photo essay, image, cover, essay, context, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P11-COVER_STORY-IMAGE-03
ISSUE-TEMPLATE-P11-COVER_STORY-TEXT-01,13,P11,Cover Story: Photo Essay,TEXT,ARTICLE_OR_COPY,Cover Story: Photo Essay / NARRATIVE + CREDITS,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: photo essay, text, cover, essay, narrative, credits, local voices, reported story",150-450,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P11-COVER_STORY-TEXT-01
ISSUE-TEMPLATE-P12-COVER_STORY-CAPTION-01,14,P12,Cover Story: Reporting,CAPTION,CAPTION_AND_CREDIT,Cover Story: Reporting / CAPTION + CREDIT,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: reporting, caption, cover, reporting, credit, attribution",20-80,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P12-COVER_STORY-CAPTION-01
ISSUE-TEMPLATE-P12-COVER_STORY-IMAGE-01,14,P12,Cover Story: Reporting,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Reporting / LEAD IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: reporting, image, cover, reporting, lead, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P12-COVER_STORY-IMAGE-01
ISSUE-TEMPLATE-P12-COVER_STORY-TEXT-01,14,P12,Cover Story: Reporting,TEXT,ARTICLE_OR_COPY,Cover Story: Reporting / BODY + SIDEBAR,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: reporting, text, cover, reporting, sidebar, local voices, reported story",400-800,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P12-COVER_STORY-TEXT-01
ISSUE-TEMPLATE-P13-COVER_STORY-IMAGE-01,15,P13,Cover Story: Interview,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Interview / PORTRAIT OR PROCESS,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: interview, image, cover, interview, portrait, process, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P13-COVER_STORY-IMAGE-01
ISSUE-TEMPLATE-P13-COVER_STORY-TEXT-01,15,P13,Cover Story: Interview,TEXT,ARTICLE_OR_COPY,Cover Story: Interview / Q&A COLUMN A,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: interview, text, cover, interview, column, local voices, reported story","700-1,200",OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P13-COVER_STORY-TEXT-01
ISSUE-TEMPLATE-P13-COVER_STORY-TEXT-02,15,P13,Cover Story: Interview,TEXT,ARTICLE_OR_COPY,Cover Story: Interview / Q&A COLUMN B + PULLQUOTE,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: interview, text, cover, interview, column, pullquote, local voices, reported story",400-800,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P13-COVER_STORY-TEXT-02
ISSUE-TEMPLATE-P14-COVER_STORY-CAPTION-01,16,P14,Cover Story: Meaning & Context,CAPTION,CAPTION_AND_CREDIT,Cover Story: Meaning & Context / CAPTION + CREDIT,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: meaning & context, caption, cover, meaning, context, credit, attribution",20-80,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P14-COVER_STORY-CAPTION-01
ISSUE-TEMPLATE-P14-COVER_STORY-IMAGE-01,16,P14,Cover Story: Meaning & Context,IMAGE,PHOTO_OR_ARTWORK,Cover Story: Meaning & Context / LEAD IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, the cover story, cover story: meaning & context, image, cover, meaning, context, lead, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P14-COVER_STORY-IMAGE-01
ISSUE-TEMPLATE-P14-COVER_STORY-TEXT-01,16,P14,Cover Story: Meaning & Context,TEXT,ARTICLE_OR_COPY,Cover Story: Meaning & Context / BODY + SIDEBAR,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story: meaning & context, text, cover, meaning, context, sidebar, local voices, reported story",400-800,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P14-COVER_STORY-TEXT-01
ISSUE-TEMPLATE-P15-FULL-01,17,P15,Cover Story Partner,AD,AD,FULL / AD_FULL,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, the cover story, cover story partner, ad, cover, partner, full, local business, sponsor",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-P15-FULL-01
ISSUE-TEMPLATE-P16-FACES-IMAGE-01,18,P16,Faces & Stories: Opening Portrait,IMAGE,PHOTO_OR_ARTWORK,Faces & Stories: Opening Portrait / HERO IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, faces & stories of anna, faces & stories: opening portrait, image, faces, stories, portrait, hero, local photography, visual storytelling",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P16-FACES-IMAGE-01
ISSUE-TEMPLATE-P16-FACES-TEXT-01,18,P16,Faces & Stories: Opening Portrait,TEXT,ARTICLE_OR_COPY,Faces & Stories: Opening Portrait / KICKER + HEADLINE + DECK,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, faces & stories of anna, faces & stories: opening portrait, text, faces, stories, portrait, kicker, headline, deck",15-75,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P16-FACES-TEXT-01
ISSUE-TEMPLATE-P16-FACES-TEXT-02,18,P16,Faces & Stories: Opening Portrait,TEXT,ARTICLE_OR_COPY,Faces & Stories: Opening Portrait / OPENING COPY + BYLINE,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, faces & stories of anna, faces & stories: opening portrait, text, faces, stories, portrait, byline, local voices, reported story",150-450,OPEN,EDITORIAL_SELECTION,true,ANALYTICS-ISSUE-TEMPLATE-P16-FACES-TEXT-02
