slot_id,physical_page,page_code,printed_page,price_key,size,x_in,y_in,width_in,height_in,fpe,seed_price_usd,sale_mode,initial_status,public_board,placement_status
ISSUE-TEMPLATE-P25-QUARTER-05,27,P25,25,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P25-QUARTER-06,27,P25,25,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P33-QUARTER-07,35,P33,33,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P33-QUARTER-08,35,P33,33,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P43-QUARTER-09,45,P43,43,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P43-QUARTER-10,45,P43,43,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P45-QUARTER-11,47,P45,45,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P45-QUARTER-12,47,P45,45,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P51-QUARTER-13,53,P51,51,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P51-QUARTER-14,53,P51,51,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P59-QUARTER-15,61,P59,59,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P59-QUARTER-16,61,P59,59,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P67-QUARTER-17,69,P67,67,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P67-QUARTER-18,69,P67,67,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P77-QUARTER-19,79,P77,77,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P52-EIGHTH-01,54,P52,52,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P52-EIGHTH-02,54,P52,52,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P52-EIGHTH-03,54,P52,52,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P52-EIGHTH-04,54,P52,52,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P53-EIGHTH-05,55,P53,53,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P53-EIGHTH-06,55,P53,53,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P53-EIGHTH-07,55,P53,53,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P53-EIGHTH-08,55,P53,53,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P56-EIGHTH-09,58,P56,56,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P56-EIGHTH-10,58,P56,56,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P56-EIGHTH-11,58,P56,56,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P56-EIGHTH-12,58,P56,56,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P58-EIGHTH-13,60,P58,58,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P58-EIGHTH-14,60,P58,58,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P58-EIGHTH-15,60,P58,58,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P58-EIGHTH-16,60,P58,58,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P70-EIGHTH-17,72,P70,70,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P70-EIGHTH-18,72,P70,70,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P70-EIGHTH-19,72,P70,70,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P70-EIGHTH-20,72,P70,70,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P76-EIGHTH-21,78,P76,76,AD_EIGHTH,EIGHTH,0.5,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P76-EIGHTH-22,78,P76,76,AD_EIGHTH,EIGHTH,4.25,0.5,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P76-EIGHTH-23,78,P76,76,AD_EIGHTH,EIGHTH,0.5,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P76-EIGHTH-24,78,P76,76,AD_EIGHTH,EIGHTH,4.25,3.05,3.75,2.5,0.125,99,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-01,57,P55,55,AD_LOGO_2X2,LOGO_2X2,0.5,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-02,57,P55,55,AD_LOGO_2X2,LOGO_2X2,3.25,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-03,57,P55,55,AD_LOGO_2X2,LOGO_2X2,6,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-04,57,P55,55,AD_LOGO_2X2,LOGO_2X2,0.5,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-05,57,P55,55,AD_LOGO_2X2,LOGO_2X2,3.25,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P55-LOGO_2X2-06,57,P55,55,AD_LOGO_2X2,LOGO_2X2,6,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-07,71,P69,69,AD_LOGO_2X2,LOGO_2X2,0.5,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-08,71,P69,69,AD_LOGO_2X2,LOGO_2X2,3.25,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-09,71,P69,69,AD_LOGO_2X2,LOGO_2X2,6,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-10,71,P69,69,AD_LOGO_2X2,LOGO_2X2,0.5,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-11,71,P69,69,AD_LOGO_2X2,LOGO_2X2,3.25,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P69-LOGO_2X2-12,71,P69,69,AD_LOGO_2X2,LOGO_2X2,6,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-13,80,P78,78,AD_LOGO_2X2,LOGO_2X2,0.5,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-14,80,P78,78,AD_LOGO_2X2,LOGO_2X2,3.25,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-15,80,P78,78,AD_LOGO_2X2,LOGO_2X2,6,0.75,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-16,80,P78,78,AD_LOGO_2X2,LOGO_2X2,0.5,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-17,80,P78,78,AD_LOGO_2X2,LOGO_2X2,3.25,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P78-LOGO_2X2-18,80,P78,78,AD_LOGO_2X2,LOGO_2X2,6,3,2,2,0.05333333333333334,49,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-C2-COVER-IFC,2,C2,,COVER_IFC,INSIDE_FRONT,0.5,0.5,7.5,10,1,7000,INQUIRY,DRAFT_ADMIN_REVIEW,false,PRESERVED_COVER_POSITION
ISSUE-TEMPLATE-C3-COVER-IBC,87,C3,,COVER_IBC,INSIDE_BACK,0.5,0.5,7.5,10,1,7000,INQUIRY,DRAFT_ADMIN_REVIEW,false,PRESERVED_COVER_POSITION
ISSUE-TEMPLATE-C4-COVER-OBC,88,C4,,COVER_OBC,OUTSIDE_BACK,0.5,0.5,7.5,10,1,12000,INQUIRY,DRAFT_ADMIN_REVIEW,false,PRESERVED_COVER_POSITION
